Date,Open,High,Low,Close,Adj Close,Volume
6/24/22,237.470001,246.066666,236.08667,245.706665,245.706665,95770800
6/27/22,249.366669,252.070007,242.566666,244.919998,244.919998,89178300
6/28/22,244.483337,249.970001,232.343338,232.66333,232.66333,90391200
6/29/22,230.5,231.17334,222.273331,228.490005,228.490005,82897200
6/30/22,224.509995,229.456665,218.863327,224.473328,224.473328,94600500
7/1/22,227,230.229996,222.119995,227.263336,227.263336,74460300
7/5/22,223,233.146667,216.166672,233.066666,233.066666,84581100
7/6/22,230.779999,234.563339,227.186661,231.733337,231.733337,71853600
7/7/22,233.919998,245.363327,232.210007,244.543335,244.543335,81930600
7/8/22,242.333328,254.979996,241.160004,250.763336,250.763336,101854200
7/11/22,252.103333,253.063339,233.626663,234.343338,234.343338,99241200
7/12/22,236.846664,239.773331,228.369995,233.070007,233.070007,87930900
7/13/22,225.5,242.059998,225.03334,237.039993,237.039993,97954500
7/14/22,234.896667,238.653336,229.333328,238.313339,238.313339,78557400
7/15/22,240,243.623337,236.889999,240.066666,240.066666,69683100
7/18/22,244.936661,250.516663,239.603333,240.546661,240.546661,82537500
7/19/22,245,247.139999,236.976669,245.529999,245.529999,80890200
7/20/22,246.78334,250.66333,243.483337,247.5,247.5,88864200
7/21/22,255.106674,273.266663,254.866669,271.706665,271.706665,142032300
7/22/22,276.220001,280.786682,270.713318,272.243347,272.243347,103472700
7/25/22,272.216675,274.146667,267.399994,268.433319,268.433319,64073400
7/26/22,266.513336,267.309998,256.263336,258.859985,258.859985,66820800
7/27/22,263.809998,275.926666,261.790009,274.820007,274.820007,88110000
7/28/22,280.066681,283.299988,272.799988,280.899994,280.899994,84723000
7/29/22,280.700012,298.320007,279.100006,297.149994,297.149994,95313000
8/1/22,301.276672,311.876678,295,297.276672,297.276672,117042900
8/2/22,294.003326,307.833344,292.666656,300.58667,300.58667,95577600
8/3/22,305,309.549988,301.149994,307.396667,307.396667,80091000
8/4/22,311,313.606659,305,308.633331,308.633331,72256200
8/5/22,302.670013,304.606659,285.543335,288.170013,288.170013,113172900
8/8/22,295,305.200012,289.08667,290.42334,290.42334,98994000
8/9/22,290.293335,292.396667,279.353333,283.333344,283.333344,86244600
8/10/22,297.066681,297.51001,283.369995,294.356659,294.356659,94918800
8/11/22,296.513336,298.236664,285.833344,286.630005,286.630005,70155000
8/12/22,289.416656,300.160004,285.033325,300.029999,300.029999,79657200
8/15/22,301.786682,313.133331,301.230011,309.320007,309.320007,89359200
8/16/22,311.666656,314.666656,302.883331,306.563324,306.563324,88136400
8/17/22,303.396667,309.656677,300.033325,303.996674,303.996674,68766000
8/18/22,306,306.5,301.853333,302.869995,302.869995,47500500
8/19/22,299,300.359985,292.5,296.666656,296.666656,61395300
8/22/22,291.91333,292.399994,286.296661,289.91333,289.91333,55843200
8/23/22,291.453339,298.82666,287.92334,296.453339,296.453339,63984900
8/24/22,297.563324,303.646667,296.5,297.09668,297.09668,57259800
8/25/22,302.359985,302.959991,291.600006,296.070007,296.070007,53230000
8/26/22,297.429993,302,287.470001,288.089996,288.089996,57163900
8/29/22,282.829987,287.73999,280.700012,284.820007,284.820007,41864700
8/30/22,287.869995,288.480011,272.649994,277.700012,277.700012,50541800
8/31/22,280.619995,281.25,271.809998,275.609985,275.609985,52107300
9/1/22,272.579987,277.579987,266.149994,277.160004,277.160004,54287000
9/2/22,281.070007,282.350006,269.079987,270.209991,270.209991,50890100
9/6/22,272.679993,275.98999,265.73999,274.420013,274.420013,55860000
9/7/22,273.100006,283.839996,272.269989,283.700012,283.700012,50028900
9/8/22,281.299988,289.5,279.76001,289.26001,289.26001,53713100
9/9/22,291.670013,299.850006,291.25,299.679993,299.679993,54338100
9/12/22,300.720001,305.48999,300.399994,304.420013,304.420013,48674600
9/13/22,292.899994,297.399994,290.399994,292.130005,292.130005,68229600
9/14/22,292.23999,306,291.640015,302.609985,302.609985,72628700
9/15/22,301.829987,309.119995,300.720001,303.75,303.75,64795500
9/16/22,299.609985,303.709991,295.600006,303.350006,303.350006,87087800
9/19/22,300.089996,309.839996,297.799988,309.070007,309.070007,60231200
9/20/22,306.910004,313.329987,305.579987,308.730011,308.730011,61642800
9/21/22,308.290009,313.799988,300.630005,300.799988,300.799988,62555700
9/22/22,299.859985,301.290009,285.820007,288.589996,288.589996,70545400
9/23/22,283.089996,284.5,272.820007,275.329987,275.329987,63748400
9/26/22,271.829987,284.089996,270.309998,276.01001,276.01001,58076900
9/27/22,283.839996,288.670013,277.51001,282.940002,282.940002,61925200
9/28/22,283.079987,289,277.570007,287.809998,287.809998,54664800
9/29/22,282.76001,283.649994,265.779999,268.209991,268.209991,77620600
9/30/22,266.149994,275.570007,262.470001,265.25,265.25,67726600
10/3/22,254.5,255.160004,241.009995,242.399994,242.399994,98363500
10/4/22,250.520004,257.5,242.009995,249.440002,249.440002,109578500
